"KdBarang","NmBarang","Bulan","Tahun","TotalTerjual"
(90)md856328063490(9,DEL MONTE 9 G,6,2024,30
"1",ENGSEL IRON NAIX,12,2023,8
"1",ENGSEL IRON NAIX,1,2024,8
"1",PERMEN KEMBALIAN,1,2024,120
"1",ENGSEL IRON NAIX,2,2024,4
"1",ENGSEL IRON NAIX,3,2024,3
"1",ENGSEL IRON NAIX,4,2024,13
"1",PARFUM GONTOR ROLL 7ML,6,2024,2
"1,09E+14",TORA CAFE ICED CAPP 180 ML,1,2024,1
"1,12E+11",PULPEN PILOT BPT-P,5,2024,3
"1,12E+11",PULPEN PILOT BPT-P,6,2024,8
"1,12E+12",PULPEN CASTELLO NEOGRIP 0.5,5,2024,8
"1,12E+12",PULPEN CASTELLO NEOGRIP 0.5,6,2024,21
"1,90E+13",KARTON ULTRA MILK SUSU UHT FULL CREAM ISI 12,6,2024,4
"1,93E+11",MD KERUPUK BANDUNG,1,2024,236
"1,93E+11",MD KERUPUK BANDUNG,2,2024,362
"1,93E+11",MD KERUPUK BANDUNG,3,2024,24
"1,93E+11",MD KERUPUK KOIN,4,2024,1
"1,93E+11",MD KERUPUK STIK PUTIH,4,2024,13
"1,93E+11",MD KERUPUK MAKRONI PEDAS,4,2024,9
"1,93E+11",MD KERUPUK BANDUNG,5,2024,281
"1,93E+11",MD KERUPUK KOIN,5,2024,48
"1,93E+11",MD MAKARONI KECIL,5,2024,1
"1,93E+11",MD KERUPUK BAWANG,5,2024,1
"1,93E+11",MD KERUPUK MAKRONI PEDAS,5,2024,15
"1,93E+11",MD KERUPUK BAWANG,6,2024,2
"1,93E+11",MD KERUPUK BANDUNG,6,2024,385
"1,93E+11",MD KERUPUK KOIN,6,2024,203
"1,93E+12",MD KRIPIK SAGU TEMPE,5,2024,46
"1,93E+12",MD KRIPIK SAGU TEMPE,6,2024,34
"100122",KTR TALAS MBOTHE BBQ BALL,1,2024,1
"100122",KTR TALAS MBOTHE BBQ BALL,2,2024,1
"100824",JAHIS SALAD,12,2023,161
"100824",JAHIS SALAD,1,2024,153
"100824",JAHIS SALAD,2,2024,79
"100824",JAHIS SALAD,5,2024,118
"100824",JAHIS SALAD,6,2024,38
"100825",JAHIS BUAH KECIL,1,2024,8
"100825",JAHIS BUAH KECIL,2,2024,10
"100826",JAHIS BUAH POTONG,12,2023,74
"100826",JAHIS BUAH POTONG,1,2024,37
"100826",JAHIS BUAH POTONG,2,2024,38
"100826",JAHIS BUAH POTONG,5,2024,10
