"NmCategory","tahun","bulan","jumlah_produk_terjual"
ALAT TULIS / KANTOR,2024,5,2
ALAT TULIS / KANTOR,2024,6,1
BODY CARE,2023,12,4
BODY CARE,2024,1,3
BODY CARE,2024,2,3
BODY CARE,2024,4,3
BODY CARE,2024,5,4
BODY CARE,2024,6,3
DETERGENT,2023,12,1
DETERGENT,2024,1,1
DETERGENT,2024,2,1
DETERGENT,2024,4,1
DETERGENT,2024,5,3
DETERGENT,2024,6,3
FOODS,2023,12,6
FOODS,2024,1,7
FOODS,2024,2,9
FOODS,2024,3,3
FOODS,2024,4,6
FOODS,2024,5,23
FOODS,2024,6,13
jahis sandwich,2024,5,1
jahis sandwich,2024,6,1
LAIN-LAIN,2023,12,53
LAIN-LAIN,2024,1,55
LAIN-LAIN,2024,2,48
LAIN-LAIN,2024,3,29
LAIN-LAIN,2024,4,61
LAIN-LAIN,2024,5,69
LAIN-LAIN,2024,6,43
LECI TEA UNIDA MART,2024,5,1
MAKANAN,2023,12,28
MAKANAN,2024,1,36
MAKANAN,2024,2,43
MAKANAN,2024,3,5
MAKANAN,2024,4,25
MAKANAN,2024,5,52
MAKANAN,2024,6,36
MINUMAN,2023,12,6
MINUMAN,2024,1,5
MINUMAN,2024,2,4
MINUMAN,2024,3,4
MINUMAN,2024,4,3
MINUMAN,2024,5,10
MINUMAN,2024,6,9
OBAT,2023,12,3
OBAT,2024,1,2
OBAT,2024,2,1
OBAT,2024,5,2
OBAT,2024,6,1
PAKAIAN,2024,5,14
PAKAIAN,2024,6,12
PERALATAN MAKAN MINUM,2024,5,2
PERALATAN MAKAN MINUM,2024,6,3
PERALATAN MANDI,2024,4,2
PERALATAN MANDI,2024,5,5
PERALATAN MANDI,2024,6,3
SNACK,2023,12,5
SNACK,2024,1,6
SNACK,2024,2,7
SNACK,2024,4,3
SNACK,2024,5,8
SNACK,2024,6,3
soes arjuna,2024,5,1
SOUVENIR,2024,6,4
