"NmBarang","Tahun","Bulan","Periode","TotalPenjualan","PenjualanBulanSebelumnya"
ABC AAA DRY CELL,2023,12,Akhir Bulan,18000.0,
ABC AAA DRY CELL,2023,12,Awal Bulan,10000.0,18000.0
ABC AAA DRY CELL,2024,1,Akhir Bulan,30000.0,
ABC AAA DRY CELL,2024,1,Awal Bulan,42000.0,30000.0
ABC AAA DRY CELL,2024,1,Tengah Bulan,23000.0,42000.0
ABC ALKALINE AA BSR,2023,12,Akhir Bulan,100000.0,
ABC ALKALINE AA BSR,2023,12,Tengah Bulan,176000.0,100000.0
ABC ALKALINE AA BSR,2024,1,Akhir Bulan,68500.0,
ABC ALKALINE AA BSR,2024,1,Tengah Bulan,249000.0,68500.0
ABC ALKALINE AA BSR,2024,2,Awal Bulan,35000.0,249000.0
ABC ALKALINE AAA KCL,2023,12,Akhir Bulan,98000.0,
ABC ALKALINE AAA KCL,2023,12,Awal Bulan,20000.0,98000.0
ABC ALKALINE AAA KCL,2023,12,Tengah Bulan,39000.0,20000.0
ABC ALKALINE AAA KCL,2024,1,Awal Bulan,24000.0,
ABC ALKALINE AAA KCL,2024,1,Tengah Bulan,401000.0,24000.0
ABC ALKALINE AAA KCL,2024,2,Awal Bulan,461500.0,401000.0
ABC ALKALINE AAA KCL,2024,3,Tengah Bulan,18000.0,461500.0
ABC ALKALINE AAA KCL,2024,5,Akhir Bulan,128000.0,18000.0
ABC ALKALINE AAA KCL,2024,5,Tengah Bulan,136500.0,128000.0
ABC BIRU DRY CELL AA,2024,1,Akhir Bulan,167500.0,
ABC BIRU DRY CELL AA,2024,2,Akhir Bulan,78000.0,167500.0
ABC BIRU DRY CELL AA,2024,2,Awal Bulan,86000.0,78000.0
ABC BIRU DRY CELL AA,2024,2,Tengah Bulan,639500.0,86000.0
ABC BIRU DRY CELL AA,2024,3,Akhir Bulan,11000.0,639500.0
ABC BIRU DRY CELL AA,2024,3,Awal Bulan,389000.0,11000.0
ABC BIRU DRY CELL AA,2024,3,Tengah Bulan,18000.0,389000.0
ABC BIRU DRY CELL AA,2024,4,Akhir Bulan,42500.0,18000.0
ABC BIRU DRY CELL AA,2024,4,Tengah Bulan,3000.0,42500.0
ABC EXTRA PEDAS 275 ML,2023,12,Awal Bulan,43000.0,
ABC EXTRA PEDAS 275 ML,2024,1,Akhir Bulan,115000.0,
ABC EXTRA PEDAS 275 ML,2024,1,Tengah Bulan,578500.0,115000.0
ABC EXTRA PEDAS 275 ML,2024,2,Awal Bulan,44000.0,578500.0
ABC GULA AREN,2023,12,Akhir Bulan,44000.0,
ABC GULA AREN,2023,12,Awal Bulan,50000.0,44000.0
ABC GULA AREN,2023,12,Tengah Bulan,68000.0,50000.0
ABC GULA AREN,2024,1,Akhir Bulan,364500.0,
ABC GULA AREN,2024,1,Awal Bulan,119500.0,364500.0
ABC GULA AREN,2024,1,Tengah Bulan,19500.0,119500.0
ABC GULA AREN,2024,2,Akhir Bulan,137000.0,19500.0
ABC GULA AREN,2024,2,Awal Bulan,98500.0,137000.0
ABC GULA AREN,2024,2,Tengah Bulan,574000.0,98500.0
ABC KECAP ASIN 133 ML,2024,1,Akhir Bulan,19000.0,
ABC KECAP ASIN 133 ML,2024,2,Awal Bulan,13000.0,19000.0
ABC KECAP EX PDS REFF 70,2023,12,Akhir Bulan,193500.0,
ABC KECAP EX PDS REFF 70,2024,1,Akhir Bulan,262500.0,
ABC KECAP EX PDS REFF 70,2024,1,Awal Bulan,112000.0,262500.0
ABC KECAP EX PDS REFF 70,2024,1,Tengah Bulan,278000.0,112000.0
ABC KECAP MANIS 15 ML,2024,5,Akhir Bulan,199500.0,
ABC KECAP MANIS 15 ML,2024,5,Tengah Bulan,104500.0,199500.0
ABC KECAP MANIS 15 ML,2024,6,Awal Bulan,278000.0,104500.0
ABC KECAP MANIS 15 ML,2024,6,Tengah Bulan,334000.0,278000.0
ABC KECAP MNS REFF 85,2024,1,Akhir Bulan,146000.0,
ABC KECAP MNS REFF 85,2024,1,Tengah Bulan,75500.0,146000.0
ABC KECAP PEDAS 135 ML,2024,1,Akhir Bulan,44500.0,
ABC KECAP PEDAS 135 ML,2024,1,Awal Bulan,242000.0,44500.0
ABC KECAP PEDAS 135 ML,2024,2,Tengah Bulan,101000.0,242000.0
ABC KECAP PEDAS 135 ML,2024,3,Awal Bulan,18500.0,101000.0
ABC KECAP PEDAS 135 ML,2024,4,Akhir Bulan,202000.0,18500.0
ABC KECAP PEDAS 135ML,2024,1,Akhir Bulan,66000.0,
ABC KECAP PEDAS 135ML,2024,2,Akhir Bulan,77000.0,66000.0
ABC KECAP PEDAS 135ML,2024,3,Awal Bulan,50000.0,77000.0
ABC KLEPON,2024,2,Akhir Bulan,271000.0,
ABC KLEPON,2024,3,Akhir Bulan,81000.0,271000.0
ABC KLEPON,2024,3,Awal Bulan,132500.0,81000.0
ABC KLEPON,2024,4,Akhir Bulan,49000.0,132500.0
ABC KLEPON,2024,5,Awal Bulan,68000.0,49000.0
ABC KLEPON,2024,6,Awal Bulan,31500.0,68000.0
ABC KLEPON,2024,6,Tengah Bulan,49000.0,31500.0
ABC KURMA,2023,12,Akhir Bulan,216000.0,
ABC KURMA,2023,12,Awal Bulan,244500.0,216000.0
ABC KURMA,2023,12,Tengah Bulan,224400.0,244500.0
ABC KURMA,2024,1,Akhir Bulan,154500.0,
ABC KURMA,2024,1,Awal Bulan,308500.0,154500.0
ABC KURMA,2024,1,Tengah Bulan,161500.0,308500.0
ABC KURMA,2024,2,Akhir Bulan,387000.0,161500.0
ABC KURMA,2024,2,Awal Bulan,364000.0,387000.0
ABC KURMA,2024,2,Tengah Bulan,37500.0,364000.0
ABC KURMA,2024,3,Akhir Bulan,40000.0,37500.0
ABC KURMA,2024,3,Awal Bulan,46500.0,40000.0
ABC KURMA,2024,4,Akhir Bulan,104500.0,46500.0
ABC KURMA,2024,5,Awal Bulan,42500.0,104500.0
ABC PLUS GULA,2023,12,Akhir Bulan,60500.0,
ABC PLUS GULA,2023,12,Awal Bulan,403500.0,60500.0
ABC PLUS GULA,2023,12,Tengah Bulan,4000.0,403500.0
ABC PLUS GULA,2024,1,Akhir Bulan,8000.0,
ABC PLUS GULA,2024,1,Awal Bulan,64000.0,8000.0
ABC PLUS GULA,2024,1,Tengah Bulan,28000.0,64000.0
ABC PLUS GULA,2024,2,Awal Bulan,23000.0,28000.0
ABC PLUS GULA,2024,6,Tengah Bulan,7000.0,23000.0
ABC SAMBAL ASLI 135ML,2024,1,Akhir Bulan,217000.0,
ABC SAMBAL ASLI 135ML,2024,2,Awal Bulan,72500.0,217000.0
ABC SAMBAL ASLI 135ML,2024,5,Akhir Bulan,56000.0,72500.0
ABC SAMBAL ASLI 135ML,2024,5,Awal Bulan,991500.0,56000.0
ABC SAMBAL ASLI 135ML,2024,5,Tengah Bulan,138000.0,991500.0
ABC SAMBAL ASLI 135ML,2024,6,Awal Bulan,43000.0,138000.0
ABC SAMBAL ASLI 135ML,2024,6,Tengah Bulan,93000.0,43000.0
ABC SAMBAL ASLI 75 GR,2023,12,Akhir Bulan,58000.0,
ABC SAMBAL ASLI 75 GR,2024,1,Awal Bulan,117000.0,
ABC SAMBAL ASLI 75 GR,2024,1,Tengah Bulan,42000.0,117000.0
ABC SAMBAL ASLI 75 GR,2024,2,Akhir Bulan,165500.0,42000.0
ABC SAMBAL ASLI 75 GR,2024,2,Awal Bulan,30000.0,165500.0
ABC SAMBAL ASLI 75 GR,2024,2,Tengah Bulan,168500.0,30000.0
ABC SAMBAL ASLI 8 G,2024,1,Akhir Bulan,242000.0,
ABC SAMBAL ASLI 8 G,2024,1,Tengah Bulan,213350.0,242000.0
ABC SAMBAL EP 75G,2023,12,Akhir Bulan,186000.0,
ABC SAMBAL EXTREMPEDAS 135,2024,1,Akhir Bulan,58500.0,
ABC SAMBAL EXTREMPEDAS 135,2024,2,Awal Bulan,592500.0,58500.0
ABC SAMBAL EXTREMPEDAS 135,2024,3,Tengah Bulan,8000.0,592500.0
ABC SAMBAL EXTREMPEDAS 135,2024,4,Akhir Bulan,577500.0,8000.0
ABC SAMBAL EXTREMPEDAS 135,2024,5,Akhir Bulan,242500.0,577500.0
ABC SAMBAL EXTREMPEDAS 135,2024,5,Awal Bulan,1095000.0,242500.0
ABC SAMBAL EXTREMPEDAS 135,2024,5,Tengah Bulan,93500.0,1095000.0
ABC SAMBAL EXTREMPEDAS 135,2024,6,Awal Bulan,104000.0,93500.0
ABC SAOS TOMAT 135ML,2024,2,Akhir Bulan,118000.0,
ABC SAOS TOMAT 135ML,2024,2,Awal Bulan,90000.0,118000.0
ABC SAOS TOMAT 135ML,2024,5,Tengah Bulan,548500.0,90000.0
ABC SAOS TOMAT 135ML,2024,6,Awal Bulan,13000.0,548500.0
ABC SAOS TOMAT 135ML,2024,6,Tengah Bulan,25500.0,13000.0
ABC SARDEN 425G CHILI,2023,12,Akhir Bulan,32000.0,
ABC SARDEN 425G CHILI,2023,12,Awal Bulan,92500.0,32000.0
ABC SARDEN 425G CHILI,2024,1,Awal Bulan,31000.0,
ABC SARDEN 425G CHILI,2024,1,Tengah Bulan,67000.0,31000.0
ABC SARDEN 425G EXTRA PDS,2023,12,Akhir Bulan,72500.0,
ABC SARDEN 425G EXTRA PDS,2023,12,Awal Bulan,68000.0,72500.0
ABC SARDEN SERUNDENG 155,2023,12,Akhir Bulan,65500.0,
ABC SARDEN SERUNDENG 155,2024,1,Akhir Bulan,30000.0,
ABC SARDEN SERUNDENG 155,2024,1,Awal Bulan,47000.0,30000.0
