KdBarang,NmBarang,KdUnit,NilaiBeli,Jumlah_Beli,HPP
   8991188943017,SASA B MASAK 50G,Pcs,0,0,"Rp2,500"
  8998866671804,EKONOMI SC E3 285KG,Pcs,0,0,"Rp39,500"
 4902430542753,ERRORR,Pcs,0,0,Rp0
 8991102260992,COOKIEZ KRIM KEJU GARING 20G,Pcs,0,0,Rp783
 8991102541329,CHIZMILL CRANCHEESE 130,Pcs,0,0,"Rp5,090"
 8992304047428,GARNIER MEN OILCONTROL,Pcs,0,0,"Rp31,500"
 8992775212134,GARUDA KCNG T 20 G,Pcs,0,0,Rp800
 8994280126142,DC BOXER GTMAN SPIS M,Pcs,0,0,"Rp44,182"
 8994472000014,MINYAK KAPAK 3,Pcs,0,0,"Rp5,450"
 8997027300102,NOMOS COIL JB 150 G LAV,Pcs,0,0,"Rp3,500"
 8997210380058,RICHWELL COCONUT COOKIES,Pcs,0,0,"Rp3,075"
 8999918585193,MILK COOKIES 250G,Pcs,0,0,"Rp9,113"
 8999999032425,PEPSODENT MW HERBAL 150 ML,Pcs,0,0,"Rp12,000"
(90)md235413005961(9,BAGUS,Pcs,0,0,Rp400
(90)md235613015716(9,RICHWELL VANILLA COOKIES,Pcs,0,0,"Rp4,470"
(90)md235631012050(9,BETTER 22g,Pcs,0,0,Rp875
(90)md856328063490(9,DEL MONTE 9 G,Pcs,0,0,Rp245
.8997226221666,HERBORIST MICELLAR 100 ML,Pcs,0,0,"Rp18,200"
`8992727006545,BIORE GUARD BF COMFORT MILD R450 ML,Pcs,0,0,"Rp21,700"
00001,ENGSEL IRON NAIX,Pcs,0,0,"Rp6,200"
00002,ENGSEL KZK,Pcs,0,0,"Rp2,167"
000030041,AICE TWISTER FRUIT,Pcs,0,0,"Rp2,425"
000030042,AICE MOONG BEAN,Pcs,0,0,"Rp3,217"
000030043,AICE HISTERIA STICK,Pcs,0,0,"Rp7,000"
000030044,AICE CHOCO MAX ,Pcs,0,0,"Rp4,063"
000030045,AICE ORANGE PHOENIX ,Pcs,0,0,"Rp2,500"
000030046,AICE PHOENIX ORIGINAL,Pcs,0,0,"Rp2,500"
000030047,AICE MOOH YOUGURT ORIGINAL,Pcs,0,0,"Rp1,583"
0001,PARFUM GONTOR ROLL 7ML,Pcs,0,0,"Rp8,800"
0002,PARFUM GONTOR ROOL 12ML,Pcs,0,0,"Rp11,000"
0003,PARFUM GONTOR SPRAY 15ML,Pcs,0,0,"Rp13,750"
00030048,AICE MOOH YOUGURT BLUEBERRY,Pcs,0,0,"Rp1,583"
00030049,AICE MOOH YOUGURT MANGGA,Pcs,0,0,"Rp38,000"
0004,PARFUM GONTOR SPRAY 20ML,Pcs,0,0,"Rp19,250"
0005,PARFUM GONTOR SPRAY 30ML,Pcs,0,0,"Rp30,250"
00058,MENTEGA LOKAL,Pcs,0,0,"Rp5,500"
0006,PARFUM LAUNDRY 100ML,Pcs,0,0,"Rp7,700"
00066,TORTILA LOS,Pcs,0,0,"Rp18,000"
0007,PARFUM LAUNDRY 250ML,Pcs,0,0,"Rp16,500"
00078,MASKER / FACE MASK ,Pcs,0,0,"Rp1,200"
00086,NASTAR HATI LOS,Pcs,0,0,"Rp50,000"
0009,GUNTING KUKU BAICHANG ,Pcs,0,0,"Rp2,925"
000905,PIATTOS BBQ 75G BUY 2 GET 1,Pcs,0,0,"Rp8,400"
001,Piutang,Pcs,0,0,"Rp41,000"
00132,MANHAS MADU MERAH 1/2 KG,Pcs,0,0,"Rp40,000"
00161,KRUPUK TAHU LOS,Pcs,0,0,"Rp6,000"
00162,KTR SUS COKLAT LOS,Pcs,0,0,"Rp100,000"
002,PIUTANG,Pcs,0,0,"Rp28,000"
00202,PANG PANG LOS ,Pcs,0,0,"Rp20,000"
00204,ROTI BAGELAN LOS,Pcs,0,0,"Rp24,000"
00206,KTR KACANG KULIT LOS,BALL,0,0,"Rp50,000"
00210,KTR BARCELONA LOS,Pcs,0,0,"Rp50,000"
002121,PAPAN MELAMIN,buah,0,0,"Rp79,935"
002954,PIATTOS RUMPUT LAUT 75G BUY 2 GET 1,Pcs,0,0,"Rp8,400"
003,PIUTANG,buah,0,0,"Rp56,500"
0032,KRESEK MERAH PAK,Pcs,0,0,"Rp33,000"
0033,GELAS PLASTIK PAK,Pcs,0,0,"Rp8,000"
00369,SEBLAK LOS,Pcs,0,0,"Rp12,000"
004,PIUTANG,buah,0,0,"Rp329,000"
00408,BOLU MARMER LOS,Pcs,0,0,"Rp86,000"
005,PIUTANG,Pcs,0,0,"Rp228,500"
00505,KRIPIK JAGUNG LOS,Pcs,0,0,"Rp21,000"
00513,KTR KERUPUK TENGGIRI ANUGRAH,Pcs,0,0,"Rp43,000"
00524,STIK BAWANG LOS,Pcs,0,0,"Rp15,000"
00539,KORO MERSI ASIN LOS,Pcs,0,0,"Rp15,000"
00554,EMPING BUMBU GITA LOS,Pcs,0,0,"Rp40,000"
00556,MOLRING LOS,Pcs,0,0,"Rp45,000"
006,PIUTANG,buah,0,0,"Rp227,500"
00604,STICK TAHU LOS ,Pcs,0,0,"Rp30,000"
007,PIUTANG,Pcs,0,0,"Rp186,000"
00704,KTR SINGKONG BAKAR BALADO LOS,Pcs,0,0,"Rp8,000"
007916248830,MYK TAWON EE,Pcs,0,0,"Rp26,500"
007916248847,MYK TAWON DD,Pcs,0,0,"Rp18,000"
007916248854,MYK TAWON CC,Pcs,0,0,"Rp13,000"
008,PIUTANG,Pcs,0,0,"Rp107,000"
00834,NOM NOM STICK,buah,0,0,"Rp15,000"
009,PIUTANG,Pcs,0,0,"Rp118,000"
00907,KRIPIK GETUK LOS,Pcs,0,0,"Rp12,000"
00929,ANEKA KACANG LOS,Pcs,0,0,"Rp12,000"
01,PERMEN KEMBALIAN,Pcs,0,0,Rp500
010,PIUTANG,buah,0,0,"Rp90,000"
010092021,KTR KRIPIK SUKUN ,BALL,0,0,"Rp70,000"
0101,ROTI LA-TANSA SOSIS,Pcs,0,0,"Rp4,300"
010125,SARUNG BANTAL/GULING.,Pcs,0,0,"Rp4,500"
0102,ROTI LA-TANSA KEJU,Pcs,0,0,"Rp3,400"
010224,KTR KOIN BALADO BALL,Pcs,0,0,"Rp72,000"
0103,ROTI LA-TANSA PIZZA,Pcs,0,0,"Rp4,300"
0104,ROTI LA-TANSA BURGER,Pcs,0,0,"Rp4,300"
0105,ROTI LA-TANSA PANDAN,Pcs,0,0,"Rp3,400"
0106,ROTI LA-TANSA COKLAT,Pcs,0,0,"Rp4,300"
010610,KHIZANAH GONTOR ROTI GO LA-TANSA,Pcs,0,0,"Rp5,300"
0107,ROTI LA-TANSA TOPING VANILA,Pcs,0,0,"Rp4,300"
0108,ROTI LA-TANSA TOPING PANDAN,Pcs,0,0,"Rp4,300"
0109,ROTI LA-TANSA GORENG,Pcs,0,0,"Rp4,300"
011,PIUTANG,Pcs,0,0,"Rp60,000"
0110,ROTI LA - TANSA DAGING,Pcs,0,0,"Rp4,700"
0111,ROTI LA -TANSA PISANG COKLAT,Pcs,0,0,"Rp4,300"
01111,SANDAL SWALLOW,buah,0,0,"Rp10,000"
0112,ROTI LA-TANSA CINAMON ROLL,Pcs,0,0,"Rp4,300"
0113,ROTI LA TANSA BROWNIS,Pcs,0,0,"Rp3,500"
0114,ROTI LA-TANSA PIZZA MANIS,Pcs,0,0,"Rp4,300"
0115,ROTI LA- TANSA GO,Pcs,0,0,"Rp5,300"
0115204,YOHAN COCKS  HITAM,Pcs,0,0,"Rp9,167"
0115205,YOHAN COCKS UNGU,Pcs,0,0,"Rp7,917"
011747233026,KACANG DUA KELINCI 80GR,Pcs,0,0,"Rp6,000"
011747233033,KCG DUA KELINCI 250,Pcs,0,0,"Rp10,750"
011747233040,KCG DUA KELINCI 500,Pcs,0,0,"Rp27,000"
011747233842,KCG DUA KELINCI 14,Pcs,0,0,Rp400
011747234160,GARAM MEJA DOLPIN 250G,Pcs,0,0,"Rp3,000"
012,PIUTANG,buah,0,0,"Rp68,500"
01222,VABEL BROWN SUGAR LIQUID,Pcs,0,0,"Rp29,000"
0123,KOREK API,Pcs,0,0,"Rp1,750"
01239,KACANG BAWANG LOS,Pcs,0,0,"Rp31,500"
01252,KTR RAMBAK BALL,Pcs,0,0,"Rp32,000"
01253,KTR RAMBAK BALL 1/2 KG,Pcs,0,0,"Rp60,000"
013,PIUTANG,Pcs,0,0,"Rp401,000"
013256621202,TONG GARDEN 120G CHILI BROAD BEANS,Pcs,0,0,"Rp10,500"
014,PIUTANG,Pcs,0,0,"Rp398,500"
015,PIUTANG,Pcs,0,0,"Rp329,000"
016,PIUTANG,Pcs,0,0,"Rp203,000"
017,PIUTANG,Pcs,0,0,"Rp197,000"
018,PIUTANG,buah,0,0,"Rp151,000"
019,PIUTANG,buah,0,0,"Rp130,000"
020,PIUTANG,Pcs,0,0,"Rp233,500"
020072,JOLLY POP,Pcs,0,0,"Rp3,000"
020110,KTR POTATO BUNCIS BALL,Pcs,0,0,"Rp40,000"
020123,KAOS UNIDA GONTOR,Pcs,0,0,"Rp70,000"
020124,KAOS UNIDA GONTOR PREMIUM ,Pcs,0,0,"Rp90,000"
0202,KEMOCENG RAFIA,Pcs,0,0,"Rp8,000"
0202022,CERMIN PENNY,buah,0,0,"Rp16,700"
020222,KACA PENNY,buah,0,0,"Rp17,500"
0203,KEMOCENG BULU,Pcs,0,0,"Rp15,000"
0204,SAPU LANTAI,Pcs,0,0,"Rp17,000"
0205,CIKRAK PLASTIK,Pcs,0,0,"Rp15,000"
021,PIUTANG,buah,0,0,"Rp682,000"
02135,SNACK LARISA,Pcs,0,0,"Rp5,000"
02145,PITATO KENTANH GORENG,Pcs,0,0,"Rp6,000"
02146,KERIPIK SINGKONG IKAN KOKI,Pcs,0,0,"Rp5,500"
02147,ALIBNA SNACK ,Pcs,0,0,"Rp4,500"
02153,HUTANG BARANG,Pcs,0,0,"Rp12,304,158"
021533141717033023,PAULINA GREEN STEAK 90 G,Pcs,0,0,"Rp6,000"
02154,HUTANG,Pcs,0,0,"Rp42,835,000"
02155,HUTANG ,Pcs,0,0,"Rp5,000,000"
02222,ROKOK SAMPOERNA,Pcs,0,0,"Rp31,000"
0240642,KTR GOSYEN,BALL,0,0,"Rp90,000"
030122,KTR PASTEL ABON,BALL,0,0,"Rp75,000"
030123,KTR TAHU WALIK BALL,Pcs,0,0,"Rp88,000"
03015,BP STANDART HITAM,Pcs,0,0,"Rp1,625"
030222,KTR STIK TES BALADO BALL,BALL,0,0,"Rp68,000"
030301,SARUNG PALEKAT HDS,Pcs,0,0,"Rp85,000"
030302,SARUNG AL BARKAH ,Pcs,0,0,"Rp78,000"
030303,SARUNG AMM,Pcs,0,0,"Rp65,000"
03092023,SOAP DISPENSER,Pcs,0,0,"Rp12,500"
031941,OVERPAL WARNA TEBAL NAIX,Pcs,0,0,"Rp4,000"
031942,OVERPAL  TEBAL SOLAR NAIX 2,Pcs,0,0,"Rp3,500"
03226,BP X-DATA MI,Pcs,0,0,Rp833
0325,BAYAR RENOVASI BANGUNAN ,Pcs,0,0,"Rp9,412,400"
0358,MD BARCELONA COKLAT,Pcs,0,0,"Rp5,000"
03924,GOOD DAY CARREBIAN NUT BOX,PAK,0,0,"Rp5,900"
04022,KTR MJ KACANG KULIT BALL,Pcs,0,0,"Rp115,000"
04072,KTR RINDU BALADO BALL,BALL,0,0,"Rp28,000"
0412,CELANA BOXER,Pcs,0,0,"Rp16,000"
04122021,KAOS KAKI AVO HITAM/PUTIH,Pcs,0,0,"Rp18,000"
04144,SEPATU PANTOPEL HECTOR,Pcs,0,0,"Rp154,000"
053314502111,KUSUKA 180G BARBEQUE ,Pcs,0,0,"Rp12,261"
053314502210,KUSUKA 60G BARBEQUS,Pcs,0,0,"Rp4,529"
053314502227,KUSUKA 60G AYAM LADA HITAM,Pcs,0,0,"Rp4,834"
053314502234,KUSUKA 60G KEJU BAKAR,Pcs,0,0,"Rp4,439"
055500130054,SOS LANTAI APPLE R800 ML,Pcs,0,0,"Rp10,400"
055500130078,SOS LANTAI ORANGE BYL R800 ML,Pcs,0,0,"Rp10,400"
055500130092,SOS LANTAI PURPLE BTL R800 ML,Pcs,0,0,"Rp10,400"
055500130214,SOS LANTAI LEMON REF R750 ML,Pcs,0,0,"Rp8,800"
055500130238,SOS LANTAI FLORAL R750 ML,Pcs,0,0,"Rp8,800"
055500130245,SOS LANTAI PURPLE R750 ML,Pcs,0,0,"Rp8,800"
058,GUNTING K,Pcs,0,0,"Rp3,380"
05895,KTR KAPRI TEPUNG,BALL,0,0,"Rp77,000"
059,BANDO,Pcs,0,0,"Rp17,500"
06012022,MD KERUPUK PUTIH PEDAS ,Pcs,0,0,"Rp8,000"
0603,SISIR RAMBUT,Pcs,0,0,"Rp3,000"
060923,MD SUSU KURMA,Pcs,0,0,"Rp7,500"
062000,ROTI LA-TANSA TOPING COKLAT KEJU,Pcs,0,0,"Rp4,300"
06292,KAOS KAKI SPORT CLUB,Pcs,0,0,"Rp28,000"
06473,KAOS KAKI BADMINTON VICTOR,Pcs,0,0,"Rp19,000"
06513,KAOS KAKI BADMIN YONEX VCE01/05,Pcs,0,0,"Rp21,000"
070223,KTR SAJU KEJU TOPLES ,Pcs,0,0,"Rp140,000"
070322,KTR LENTHO GORENG BALL,BALL,0,0,"Rp50,000"
07102021,ROTI PISANG COKLAT SUMBER REJEKI,Pcs,0,0,"Rp1,750"
071291,NUSA KOK,Pcs,0,0,"Rp11,667"
071292,MANDALA KOK,Pcs,0,0,"Rp10,416"
071293,CHELSEA KOK,Pcs,0,0,"Rp8,750"
07132,AGNESIS KNEE ,Pcs,0,0,"Rp28,750"
07351,KOK WIJAYA UNGU,PAK,0,0,"Rp81,000"
07420,SENDOK DAWET VICTORY,Pcs,0,0,"Rp5,500"
074342,AGNESIS KNEE PROTECTOR,Pcs,0,0,"Rp60,375"
0745114066152,KAWAT PANCI,Pcs,0,0,"Rp1,666"
0800114469,ABC KECAP PEDAS 16 ML,Pcs,0,0,Rp475
0801,KTR ROTI WIJEN BAROKAH,Pcs,0,0,"Rp85,000"
08032,KTR KERIPIK KACA BALL,BALL,0,0,"Rp48,000"
