NoNota,TglNota,NmSupplier,Keterangan,Total,Pembayaran,TglFaktur,NoFaktur,Retur,TransBy
012024/NPB/000041,2024-01-09,AICE MADIUN,,"Rp2,231,999",KREDIT,2024-01-09,,0,IKA
012024/NPB/000079,2024-01-16,AICE MADIUN,,"Rp55,000",KREDIT,2024-01-16,,0,IKA
012024/NPB/000080,2024-01-16,AICE MADIUN,,"Rp2,160,008",KREDIT,2024-01-16,,0,IKA
012024/NPB/000101,2024-01-23,AICE MADIUN,,"Rp2,041,993",KREDIT,2024-01-23,,0,IKA
012024/NPB/000141,2024-01-30,AICE MADIUN,,"Rp2,720,508",KREDIT,2024-01-30,,0,IKA
022024/NPB/000018,2024-02-09,AICE MADIUN,,"Rp2,243,708",KREDIT,2024-02-09,,0,IKA
022024/NPB/000042,2024-02-16,AICE MADIUN,,"Rp2,150,577",KREDIT,2024-02-16,,0,IKA
022024/NPB/000056,2024-02-20,AICE MADIUN,,"Rp1,299,264",KREDIT,2024-02-20,,0,IKA
032024/NPB/000006,2024-03-05,AICE MADIUN,,"Rp1,089,016",KREDIT,2024-03-05,,0,IKA
042024/NPB/000037,2024-04-23,AICE MADIUN,,"Rp595,500",KREDIT,2024-04-23,,0,IKA
042024/NPB/000038,2024-04-23,AICE MADIUN,,"Rp1,043,000",KREDIT,2024-04-23,,0,IKA
042024/NPB/000039,2024-04-23,AICE MADIUN,,"Rp555,484",KREDIT,2024-04-23,,0,IKA
042024/NPB/000040,2024-04-23,AICE MADIUN,,"Rp498,100",KREDIT,2024-04-23,,0,IKA
042024/NPB/000041,2024-04-23,AICE MADIUN,,"Rp150,480",KREDIT,2024-04-23,,0,IKA
042024/NPB/000231,2024-04-30,AICE MADIUN,,"Rp788,080",TUNAI,2024-04-30,,0,MEI
042024/NPB/000232,2024-04-30,AICE MADIUN,,"Rp22,940",TUNAI,2024-04-30,,0,MEI
042024/NPB/000233,2024-04-30,AICE MADIUN,,"Rp688,000",TUNAI,2024-04-30,,0,MEI
042024/NPB/000234,2024-04-30,AICE MADIUN,,"Rp657,000",TUNAI,2024-04-30,,0,MEI
042024/NPB/000235,2024-04-30,AICE MADIUN,,"Rp556,500",TUNAI,2024-04-30,,0,MEI
042024/NPB/000237,2024-04-30,AICE MADIUN,,"Rp504,000",TUNAI,2024-04-30,,0,MEI
052024/NPB/000080,2024-05-07,AICE MADIUN,,"Rp2,656,000",TUNAI,2024-05-07,,0,MEI
052024/NPB/000135,2024-05-11,AICE MADIUN,,"Rp2,150,001",TUNAI,2024-05-11,,0,MEI
052024/NPB/000163,2024-05-14,AICE MADIUN,,"Rp1,105,501",TUNAI,2024-05-14,,0,MEI
052024/NPB/000226,2024-05-25,AICE MADIUN,,"Rp3,005,517",TUNAI,2024-05-25,,0,MEI
062024/NPB/000017,2024-06-04,AICE MADIUN,,"Rp2,684,001",KREDIT,2024-06-04,,0,MEI
062024/NPB/000054,2024-06-11,AICE MADIUN,,"Rp2,260,501",KREDIT,2024-06-11,,0,MEI
102023/NPB/000059,2023-10-24,AICE MADIUN,,"Rp1,616,199",TUNAI,2023-10-24,,0,IKA
112023/NPB/000010,2023-11-03,AICE MADIUN,,"Rp1,112,600",KREDIT,2023-11-03,,0,IKA
112023/NPB/000022,2023-11-07,AICE MADIUN,,"Rp978,993",TUNAI,2023-11-07,,0,IKA
112023/NPB/000049,2023-11-13,AICE MADIUN,,"Rp1,558,100",TUNAI,2023-11-13,,0,IKA
112023/NPB/000072,2023-11-18,AICE MADIUN,,"Rp992,600",TUNAI,2023-11-18,,0,IKA
112023/NPB/000081,2023-11-21,AICE MADIUN,,"Rp1,633,109",KREDIT,2023-11-21,,0,IKA
112023/NPB/000109,2023-11-28,AICE MADIUN,,"Rp1,973,199",KREDIT,2023-11-28,,0,IKA
122023/NPB/000051,2023-12-12,AICE MADIUN,,"Rp2,148,708",KREDIT,2023-12-12,,0,IKA
122023/NPB/000076,2023-12-19,AICE MADIUN,,"Rp1,061,500",KREDIT,2023-12-19,,0,IKA
122023/NPB/000100,2023-12-26,AICE MADIUN,,"Rp2,117,009",KREDIT,2023-12-26,,0,IKA
122023/NPB/000124,2023-12-31,AICE MADIUN,,"Rp1,276,500",KREDIT,2023-12-31,,0,IKA
