KdBarang,NmBarang,HrgBeli,HrgJual,HrgGrossir,ProfitMarginUmum,ProfitMarginGrossir,Stock
   8991188943017,SASA B MASAK 50G,"Rp2,500","Rp4,000","Rp4,000",60,60,0
  8998866671804,EKONOMI SC E3 285KG,"Rp39,500","Rp41,000","Rp41,000",3.8,3.8,0
 8991102260992,COOKIEZ KRIM KEJU GARING 20G,Rp783,"Rp1,000","Rp1,000",27.71,27.71,0
 8991102541329,CHIZMILL CRANCHEESE 130,"Rp5,090","Rp6,000","Rp6,000",17.88,17.88,0
 8992304047428,GARNIER MEN OILCONTROL,"Rp31,500","Rp33,000","Rp33,000",4.76,4.76,0
 8992775212134,GARUDA KCNG T 20 G,Rp800,"Rp1,000","Rp1,000",25,25,0
 8994280126142,DC BOXER GTMAN SPIS M,"Rp44,182","Rp55,000","Rp55,000",24.49,24.49,0
 8994472000014,MINYAK KAPAK 3,"Rp5,450","Rp7,000","Rp7,000",28.44,28.44,0
 8997027300102,NOMOS COIL JB 150 G LAV,"Rp3,500","Rp5,000","Rp5,000",42.86,42.86,0
 8997210380058,RICHWELL COCONUT COOKIES,"Rp3,075","Rp4,000","Rp4,000",30.08,30.08,0
 8999918585193,MILK COOKIES 250G,"Rp9,113","Rp10,000","Rp10,000",9.73,9.73,5
 8999999032425,PEPSODENT MW HERBAL 150 ML,"Rp12,000","Rp13,500","Rp13,500",12.5,12.5,0
(90)md235413005961(9,BAGUS,Rp400,"Rp1,000","Rp1,000",150,150,0
(90)md235613015716(9,RICHWELL VANILLA COOKIES,"Rp4,470","Rp5,000","Rp5,000",11.86,11.86,0
(90)md235631012050(9,BETTER 22g,Rp875,"Rp1,000","Rp1,000",14.29,14.29,0
(90)md856328063490(9,DEL MONTE 9 G,Rp245,Rp500,Rp500,104.08,104.08,96
.8997226221666,HERBORIST MICELLAR 100 ML,"Rp18,200","Rp20,500","Rp20,500",12.64,12.64,0
`8992727006545,BIORE GUARD BF COMFORT MILD R450 ML,"Rp21,700","Rp22,500","Rp22,500",3.69,3.69,0
00001,ENGSEL IRON NAIX,"Rp6,200","Rp8,000","Rp7,000",29.03,12.9,3
00002,ENGSEL KZK,"Rp2,167","Rp5,000","Rp5,000",130.77,130.77,1
000030041,AICE TWISTER FRUIT,"Rp2,425","Rp3,500","Rp3,500",44.33,44.33,79
000030042,AICE MOONG BEAN,"Rp3,217","Rp4,000","Rp4,000",24.35,24.35,30
000030043,AICE HISTERIA STICK,"Rp7,000","Rp8,500","Rp8,500",21.43,21.43,48
000030044,AICE CHOCO MAX ,"Rp4,063","Rp5,000","Rp5,000",23.08,23.08,96
000030045,AICE ORANGE PHOENIX ,"Rp2,500","Rp3,500","Rp3,500",40,40,15
000030046,AICE PHOENIX ORIGINAL,"Rp2,500","Rp3,500","Rp3,500",40,40,15
000030047,AICE MOOH YOUGURT ORIGINAL,"Rp1,583","Rp2,000","Rp2,000",26.32,26.32,0
0001,PARFUM GONTOR ROLL 7ML,"Rp8,800","Rp10,000","Rp10,000",13.64,13.64,-2
0002,PARFUM GONTOR ROOL 12ML,"Rp11,000","Rp13,000","Rp13,000",18.18,18.18,0
0003,PARFUM GONTOR SPRAY 15ML,"Rp13,750","Rp15,000","Rp15,000",9.09,9.09,0
00030048,AICE MOOH YOUGURT BLUEBERRY,"Rp1,583","Rp2,000","Rp2,000",26.32,26.32,0
00030049,AICE MOOH YOUGURT MANGGA,"Rp38,000","Rp45,000","Rp45,000",18.42,18.42,1
0004,PARFUM GONTOR SPRAY 20ML,"Rp19,250","Rp22,000","Rp22,000",14.29,14.29,0
0005,PARFUM GONTOR SPRAY 30ML,"Rp30,250","Rp33,000","Rp33,000",9.09,9.09,0
00058,MENTEGA LOKAL,"Rp5,500","Rp6,000","Rp6,000",9.09,9.09,0
0006,PARFUM LAUNDRY 100ML,"Rp7,700","Rp10,000","Rp10,000",29.87,29.87,0
00066,TORTILA LOS,"Rp18,000","Rp20,000","Rp20,000",11.11,11.11,0
0007,PARFUM LAUNDRY 250ML,"Rp16,500","Rp18,000","Rp18,000",9.09,9.09,0
00078,MASKER / FACE MASK ,Rp700,"Rp2,000","Rp2,000",185.71,185.71,133
00086,NASTAR HATI LOS,"Rp50,000","Rp55,000","Rp55,000",10,10,0
0009,GUNTING KUKU BAICHANG ,"Rp2,925","Rp5,000","Rp5,000",70.94,70.94,0
000905,PIATTOS BBQ 75G BUY 2 GET 1,"Rp8,400","Rp11,500","Rp11,500",36.9,36.9,0
001,Piutang,"Rp41,000","Rp41,000","Rp41,000",0,0,0
00132,MANHAS MADU MERAH 1/2 KG,"Rp40,000","Rp50,000","Rp50,000",25,25,0
00161,KRUPUK TAHU LOS,"Rp6,000","Rp8,000","Rp8,000",33.33,33.33,0
00162,KTR SUS COKLAT LOS,"Rp100,000","Rp130,000","Rp130,000",30,30,2
002,PIUTANG,"Rp28,000","Rp28,000","Rp28,000",0,0,0
00202,PANG PANG LOS ,"Rp20,000","Rp23,000","Rp23,000",15,15,0
00204,ROTI BAGELAN LOS,"Rp24,000","Rp30,000","Rp30,000",25,25,0
00206,KTR KACANG KULIT LOS,"Rp50,000","Rp52,000","Rp52,000",4,4,0
00210,KTR BARCELONA LOS,"Rp50,000","Rp55,000","Rp55,000",10,10,0
002121,PAPAN MELAMIN,"Rp79,935","Rp82,000","Rp82,000",2.58,2.58,0
002954,PIATTOS RUMPUT LAUT 75G BUY 2 GET 1,"Rp8,400","Rp11,500","Rp11,500",36.9,36.9,0
003,PIUTANG,"Rp56,500","Rp56,500","Rp56,500",0,0,0
0032,KRESEK MERAH PAK,"Rp33,000","Rp35,000","Rp35,000",6.06,6.06,0
0033,GELAS PLASTIK PAK,"Rp8,000","Rp10,000","Rp10,000",25,25,0
00369,SEBLAK LOS,"Rp12,000","Rp16,000","Rp16,000",33.33,33.33,0
004,PIUTANG,"Rp329,000","Rp329,000","Rp329,000",0,0,0
00408,BOLU MARMER LOS,"Rp86,000","Rp95,000","Rp95,000",10.47,10.47,0
005,PIUTANG,"Rp228,500","Rp228,500","Rp228,500",0,0,0
00505,KRIPIK JAGUNG LOS,"Rp21,000","Rp24,000","Rp24,000",14.29,14.29,0
