KdSupplier,NmSupplier,Alamat,Kota,Telp,ContactPerson
00000010,UST. WAHYU,BETON,PONOROGO,,
0001,TOKO GERABAH AL MUBAROK,JLN MARGO UTOMO NO 15 DEMANGAN,PONOROGO,081359602669,PAK AGUS YASIN
00019821,FAMILIZONE,"JL AHMAD YANI NO.84
",PONOROGO,081225789600,
0003,SALES KAOS KAKI,GONTOR,,085259502091,
0004,PT KARTINI TEH NASIONAL,"
-",-,-,-
001,PONOROGO PERMAI,JL. ALOON-ALOON SELATAN NO.1 PAKUNDEN KRAJAN PONOROGO,PONOROGO,03520484262,
0010,AICE MADIUN,JL. KAPTEN TENDEAN NO 69 BANJAREJO MADIUN JAWA TIMUR,,03512811330,
00222,UNIDA MART,"JLN SIMAN 6 KM
",PONOROGO,-,-
003,KERATON PO,"PONOROGO
",PONOROGO,,
0039,PT ARTA BOGA CEMERLANG,RT.001 RW.003 RAWA BUAYA CENGKARENG JAKARTA BARAT DKI JAKARTA,JATIM-MADIUN,08974359579,
018591,PT SINAR SOSRO,"Kantor Perwakilan Penjualan Madiun : Jl. Mayor Jendral DI Panjaitan No. 08 Panden Taman Kota Madiun Jawa Timur 63133
",,0351 495230,
02011,MINIMARKET U3,"JLN SIMAN 6 KM
",PONOROGO,-,-
02222,TELAGA INTAN SPORT,PONOROGO,PONOROGO,,
0325,LA TANSA SPORT (CD),"JLN HOS COKROAMINOTO
",PONOROGO,-,-
11112222333,TOKO,,,,
12131,HATARI,,,,
123456,APOTEK ASIA,PONOROGO,PONOROGO,,
16072021,ABU BAKAR,UNIDA,PONOROGO,,
17072021,PT INDOMARCO ADI PRIMA MALANG,JL. URIP SUMOHARJO NO.100 MADIUN,,0351 459188,
190721,SALES PIATTOS,PONOROGO,,081335482283,
2021,PT COCA COLA ,PONOROGO,,,
2024,KTR KRIPIK BAYAM,,,,
202405,BBC BIB BIB COLLECTION,"
-",PONOROGO,,
202405021,ANGKASA,"JL GAJAH MADA 38 PONOROGO
",PONOROGO,0352  484777,
20240524,SALES KACANG,,PONOROGO,,
2025,KTR KRIPIK BAYAM,,,,
26012024,PT. ALAM ANUGERAH SARANA DAYA,"JLN MAYJEN SUNGKONO MDN
",MADIUN,-,-
3000,KTR KRIPIK BAYAM,,,,
32263,CV. TIRTA RAHARJA (SUB. DIST. MAYORA),"JL. RAYA PONOROGO-MADIUN KM 5 BABADAN-PONOROGO 
",,0352 461262,
4500,KTR SUMBER RASA,,,,
5500,KTR KRUPUK IKAN ,,,,
56790,twiscorn balado,,,,
72121,MAJU BERSAMA (YUZU),PONOROGO,,081331075745/082338863469,
8990,cumi bawang,,,,
8992753720804,frisian flag kental manis putih,,,,
8995102708102,MAMASUKA 4.5 TELUR ASIN,,,,
9098,jahis sandwich,,,,
921071400006,LA TANSA DDC (PARFUM),GONTOR,PONOROGO,,
959595,LECI TEA UNIDA MART,,,,
9780,soes arjuna,,,,
9898,stella refil japanese sakura,,,,
98983,stella refil japanese sakura,,,,
A-001,SUMMER SPRING,"
-",PONOROGO,081252215252,
ABK,ABUBAKAR,"SIMAN
",PONOROGO,-,-
AGUS,AGUS WASKITO,,,,
AL,AL FATH,"PONOROGO SIMAN
",PONOROGO,-,-
ALOKA,ROTI ALOKA,"PONOROGO
",PONOROGO,,
ANEKA SARI,UD ANEKA SARI PRATAMA,"PONOROGO
",PONOROGO,-,-
APOTIK,APOTIK KARYA HUSADA ,"JL TRUNOJOYO NO. 13 PONOROGO
",PONOROGO,0352484842,0352487771
ARMIDAS,ARMIDAS GONTOR,UNIDA ,PONOROGO,,
AS,ADEM SARI,PONOROGO,,085235501452,
BAKERY,LA TANSA BAKERY,"GONTOR
",PONOROGO,,
BARBER,BARBER,SIMAN,,,
BU IWAN,TOKO BU IWAN,"JLN PASAR LEGI
",PONOROGO,-,-
BU LES,TOKO LESTARI,"SIMAN
",PONOROGO,085259849405,085259849405
BU PIKUN,TOKO BU PIKUN,"JLN PONOROGO
",PONOROGO,-,-
CITRA PO,UNILEVER PONOROGO,JL RAYA PONOROGO -MADIUN KM 05 RT001 RW 01,PONOROGO,0352484733,0352484195
COCOLA,ROTI COCOLA,"PONOROGO
",-,081703370358,
COFFEE SHOP,JAHIS COFFEE SHOP,UNIDA ,PONOROGO,,
CUKUR JENGOT,SELES CUKUR JENGOT,"JLN PONOROGO
",PONOROGO,-,-
DDC ,LATANSA DDC,PONOROGO,,,
GARUDA FOODS,CV CHAMPION ABADI PERKASA,JL RAYA PONOROGO MADIUN RT.02 RW 01,PONOROGO,,
GESPER,TOKO GESPER,"JLN ONE WAY
",PONOROGO,-,-
HYPERMART,HYPERMART PCC,"PONOROGO
",PONOROGO,-,-
INDO,INDOMARET,"PONOROGO
",PONOROGO,-,-
IS.,ISMART,"JLN SULTAN AGUNG 73
",PONOROGO,-,-
ISMART,ISMART,"PONOROGO
",PONOROGO,-,-
JL 00016632,CV. TRIPLE H (SRI HASTUTI),JL. SETIAWAN BUDI 20,,0351 2812085,
KANTIN ,KANTIN PASCA,"UNIDA
",UNIDA,-,-
KRIPIK,NDIKC JAYA ABADI,"JLN PONOROGO
",PONOROGO,085204991518,-
LA TANSA ,LA TANSA DC MAKANAN,"JLN SIMAN PONOROGO
",PONOROGO,-,-
LANCAR,LANCAR JAYA,"PONOROGO
",PONOROGO,-,-
LARUTAN KAKI 3,CV. PRATAMA JAYA,"JALAN THAMRIN NO. 82 KLEGEN KARTOHARJO 82 MADIUN
",MADIUN,0351464388,082231323977
LATANSA,APOTIK LATANSA,"JL H.O.S COKROAMINOTO 66 BANGUNSARI
",PONOROGO,081215139876,
LESTARI,LESTARI MAKMUR,"LJN PONOROGO
",PONOROGO,-,-
LUWES,LUWES PONOROGO,"JL. AHMAD DAHLAN
",PONOROGO,,
LUWES PO,LUWES PONOROGO,"JLN AHMAD DHLAN
",PONOROGO,-,-
LUWES PO 2,LUWES PONOROGO,"JLN AHMAD DAHLAN
",PONOROGO,-,-
LUWES PONOROGO,LUWES PONOROGO,"JLN AHMAD DAHLAN
",PONOROGO,-,-
MADAMAT,MADAMAT,"UNIDA
",PONOROGO,-,-
MAKARYA,MAKARYA DISTRIBUTOR,"JL ADES PULOSARI 07
NGEGONG MANGUHARJO MADIUN ",MADIUN,085755044889,081252711877
MAKMUR,SUMBER MAKMUR,"JLN DIPONEGORO NO 71
",PONOROGO,-,-
MASKER,TOKO MASKER ,"JLN PONOROGO
",PONOROGO,-,-
MAWAR,MAWAR MALANG,"JLN MALANG
",MALANG,-,-
MD,MADAMAT ,UNIDA ,PONOROGO,,
MORRIS,CV. JAGO DISTRIBUTION,"JL JENDRAL SUDIRMAN 134 MADIUN
",MADIUN,0351454371,
MP,TOKO MUDA PLASTIK ,PONOROGO,,,
NABATI,SELES NABATI,"Jln PONOROGO
",PONOROGO,-,-
NESTLE,BEAR BRAND,"PONOROGO
",PONOROGO,,
PASAR,PASAR SIMAN,"PONOROGO
",PO,-,-
POCARI,CV. CAHAYA SURYA ,"LJN THAMRIN NO. 82 MADIUN 
",PONOROGO,0351469009,-
RATNA,TOKO RATNA,"JLN SOEKARNO HATTA 216
",PONOROGO,-,-
ROKOK,TK SUMBER REJEKI,"PONOROGO
",PONOROGO,-,-
ROTI ,ROTI SUMBER REJEKI,"WONOGIRI
",WONOGIRI,085329087127,
SABAR JAYA,SABAR JAYA,PONOROGO,,,
SAERAH,PT. SAERAH SURYA PERKASA,"JL RAYA KANAL BARAT, DESA KWANGSEN JIWAN MADIUN 63161",MADIUN,081235944698,TRI MULYONO
SARI ROTI,SARI ROTI,"MADUIN
",MADIUN,,
SILVER QUEEN,PT BORWITA CITRA PRIMA,JL. RAYA TAMAN 48A-TAMAN SIDOARJO,MADIUN,YUDO TRI BASKORO,
SURYA,SURYA SUPERMARKET,"JL. H.O.S COKRO AMINOTO 41
",PONOROGO,082332144300,082332144300
SUSU ULTRA,PT ULTRAJAYA MILK INDUSTRY,JL. RAYA CIMAREME NO. 131 KAB BANDUNG BARAT 40552 INDONESIA,BANDUNG,022-86700700,081217267671
TANAYA,TOKO PLASTIK TANAYA,"PONOROGO
",PONOROGO,-,-
TB BERKAH JAYA,TB BERKAH JAYA,"JL RAYA SIMAN, BESARAN, DS BRAHU, SIMAN",PONOROGO,081238765622,081238765622
TIP,TIP,"
-",PO,,
TIRTA,CV. TIRTA WARNA,"JL. URIP SUMOHARJO

",PONOROGO,-,-
TOKO,TOKO MAHARANI,"PONOROGO
",PONOROGO,-,-
TUNAI,TUNAI,-,-,-,-
UMUM,UMUM,"UMUM
",UMUM,UMUM,UMUM
USTADZ AGUS,USTADZ AGUS,,PONOROGO,,
YAKUL,PT YAKUL SEHAT,"JLN PONOROGO
",PONOROGO,-,-
YOU.C1000,PT. ASIASEJAHTERA P,"JL. GATOT SUBROTO KAV.99
",JAKARTA SELATAN,081232325066,ERFAN SULTHONI
